Country,Name,Source,Location,Capacity,Status,Start,Owner,Capital,HQ,Link,Latitude,Longitude
México,Chinampas,Eólica,Ojuelos (Jalisco),64,Em construção,Indeterminado,Eoaliatec (EDF Renovables/Mitsui),Privado,Paris (França),http://apps1.semarnat.gob.mx/dgiraDocs/documentos/jal/estudios/2011/14JA2011FD142.pdf,21.715167,-101.755964
México,Viborillas,Solar,Francisco Primo de Verdad (Jalisco),130,Em operação,2018,White River Renewables (Riverstone/White Summit Capital),Privado,Nova York (EUA),https://whitesummitcap.com/portfolio/,21.8386176,-101.7243909
México,Amistad IV,Eólica,Ciudad Acuña (Coahuila),162,Em construção,Indeterminado,Enel Green Power,Privado,Roma (Itália),https://www.enelgreenpower.com/es/proyectos,29.632334,-101.722467
México,Amistad III,Eólica,Ciudad Acuña (Coahuila),108,Em construção,Indeterminado,Enel Green Power,Privado,Roma (Itália),https://www.enelgreenpower.com/es/proyectos,29.608371,-101.702756
México,Los Altos,Eólica,Ojuelos (Jalisco),54,Em operação,2014,Grupo Dragón (Grupo Salinas),Privado,Cidade do México (México) ,http://www.gdragon.com.mx/Infraestructura.aspx,21.8096855,-101.6800193
México,Amistad II,Eólica,Ciudad Acuña (Coahuila),103,Em operação,2020,Enel Green Power,Privado,Roma (Itália),https://www.enelgreenpower.com/es/proyectos,29.732852,-101.64761
México,Coahuila,Eólica,Ramos Arizpe-General Cepeda (Coahuila),199.5,Em operação,2017,EDF Renovables/Industria Peñoles,Privado,Paris (França),https://www.edpr.com/north-america/eolica-de-coahuila-Eólica-farm,25.6411091,-101.5304811
México,Vientos del Altiplano,Eólica,Mazapil/Villa de Cos (Zacatecas),100,Em operação,2016,Enel Green Power,Privado,Roma (Itália),https://www.enelgreenpower.com/pt/midias/photo/2020/04/parque-eolico-vientos-del-altiplano,23.8793105,-101.5187661
México,Mesa de Morenos Cerritos,Eólica,Pinos (Zacatecas),76,Em construção,Indeterminado,BAS Corporation,Privado,Bilbao (Espanha),https://bascorporation.com/en/mesa-morenos-project-México,22.0412381,-101.4438843
México,Amistad I,Eólica,Ciudad Acuña (Coahuila),100,Em operação,2018,Enel Green Power,Privado,Roma (Itália),https://www.enelgreenpower.com/es/proyectos,29.801829,-101.38
México,La Carabina I-II,Eólica,Acuña (Coahuila),400,Planejado,Indeterminado,,Privado,Cidade do México (México) ,https://mx.sowitec.com/es/,29.604828,-101.3493634
